image_path,true_class_idx,true_class_name,top1_pred_idx,top1_pred_name,top1_confidence,conformal_set_idx,conformal_set_names,set_size,is_singleton,true_label_covered,top1_correct
data/raw/OTU_2d/images/384.JPG,3,Theca cell tumour,1,Serous cystadenoma,0.3912999629974365,"[0, 1, 3, 4, 6, 7]","['Chocolate cyst', 'Serous cystadenoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Simple cyst', 'Normal ovary']",6,False,True,False
data/raw/OTU_2d/images/730.JPG,1,Serous cystadenoma,1,Serous cystadenoma,0.924907922744751,[1],['Serous cystadenoma'],1,True,True,True
data/raw/OTU_2d/images/1426.JPG,7,Normal ovary,7,Normal ovary,0.4331086575984955,"[0, 3, 4, 5, 6, 7]","['Chocolate cyst', 'Theca cell tumour', 'Clear cell carcinoma', 'Dermoid cyst', 'Simple cyst', 'Normal ovary']",6,False,True,True
data/raw/OTU_2d/images/1138.JPG,0,Chocolate cyst,0,Chocolate cyst,0.6713283061981201,"[0, 2, 3, 4, 6]","['Chocolate cyst', 'Teratoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Simple cyst']",5,False,True,True
data/raw/OTU_2d/images/875.JPG,1,Serous cystadenoma,0,Chocolate cyst,0.3736479580402374,"[0, 1, 2, 3, 4, 6, 7]","['Chocolate cyst', 'Serous cystadenoma', 'Teratoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Simple cyst', 'Normal ovary']",7,False,True,False
data/raw/OTU_2d/images/270.JPG,5,Dermoid cyst,5,Dermoid cyst,0.729149580001831,"[2, 3, 4, 5, 6, 7]","['Teratoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Dermoid cyst', 'Simple cyst', 'Normal ovary']",6,False,True,True
data/raw/OTU_2d/images/1391.JPG,2,Teratoma,0,Chocolate cyst,0.37946081161499023,"[0, 1, 3, 4, 5, 7]","['Chocolate cyst', 'Serous cystadenoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Dermoid cyst', 'Normal ovary']",6,False,False,False
data/raw/OTU_2d/images/81.JPG,0,Chocolate cyst,0,Chocolate cyst,0.7723011374473572,"[0, 2, 3, 4, 6, 7]","['Chocolate cyst', 'Teratoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Simple cyst', 'Normal ovary']",6,False,True,True
data/raw/OTU_2d/images/471.JPG,0,Chocolate cyst,0,Chocolate cyst,0.7388656735420227,"[0, 2, 3, 4, 5, 6, 7]","['Chocolate cyst', 'Teratoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Dermoid cyst', 'Simple cyst', 'Normal ovary']",7,False,True,True
data/raw/OTU_2d/images/156.JPG,5,Dermoid cyst,5,Dermoid cyst,0.7306298613548279,"[3, 5, 7]","['Theca cell tumour', 'Dermoid cyst', 'Normal ovary']",3,False,True,True
data/raw/OTU_2d/images/117.JPG,1,Serous cystadenoma,6,Simple cyst,0.9504117965698242,"[1, 4, 6]","['Serous cystadenoma', 'Clear cell carcinoma', 'Simple cyst']",3,False,True,False
data/raw/OTU_2d/images/485.JPG,2,Teratoma,2,Teratoma,0.7833765745162964,"[2, 3, 4, 5, 6, 7]","['Teratoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Dermoid cyst', 'Simple cyst', 'Normal ovary']",6,False,True,True
data/raw/OTU_2d/images/824.JPG,0,Chocolate cyst,5,Dermoid cyst,0.3357331454753876,"[2, 3, 4, 5, 6, 7]","['Teratoma', 'Theca cell tumour', 'Clear cell carcinoma', 'Dermoid cyst', 'Simple cyst', 'Normal ovary']",6,False,False,False
data/raw/OTU_2d/images/1450.JPG,7,Normal ovary,7,Normal ovary,0.9925971031188965,[7],['Normal ovary'],1,True,True,True
data/raw/OTU_2d/images/785.JPG,4,Clear cell carcinoma,4,Clear cell carcinoma,0.9694560170173645,[4],['Clear cell carcinoma'],1,True,True,True
data/raw/OTU_2d/images/659.JPG,5,Dermoid cyst,5,Dermoid cyst,0.9305541515350342,"[4, 5, 7]","['Clear cell carcinoma', 'Dermoid cyst', 'Normal ovary']",3,False,True,True
